Disease_Trait,Taxa_String,N_Unique_Sample,Taxa,N_Microbes,Compartment,Package,Model,pVal,R_Squared,Adj_R_Squared,x_Trait_Slope_95CI,Intercept_95CI,Parameters,Estimated_Parameter_95CI,AIC,AICc,Minimum_AIC,Minimum_AICc,Best_model
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Deltaproteobacteria___D_3__Desulfobacterales___D_4__Desulfobacteraceae___D_5__Desulfobacter,5,Desulfobacter,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.833483264,0.002846009,-0.055620676,0.00285578895794641 + 1.97336377435805 - -1.94663622564195,0.136800020474681 + 1.97970085677152 - -1.94029914322848,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.929139248743772,-38.28360678,-37.48360678,model_l,model_l,yes
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Deltaproteobacteria___D_3__Desulfobacterales___D_4__Desulfobacteraceae___D_5__Desulfobacter,5,Desulfobacter,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.769145354,0.005538936,-0.055620676,0.00431064375745057 + 1.97443985535883 - -1.94556014464117,0.122777589184296 + 2.01091762484863 - -1.90908237515137,"lambda=l,delta=ML,kappa=1",3 -/+ 1.20926745498512,-35.1159622,-34.3159622,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Deltaproteobacteria___D_3__Desulfobacterales___D_4__Desulfobacteraceae___D_5__Desulfobacter,5,Desulfobacter,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.696443376,0.009765893,-0.055620676,0.00476416703429548 + 1.97199333436402 - -1.94800666563598,0.12467192064808 + 2.02170798810646 - -1.89829201189354,"lambda=1,delta=1,kappa=ML",0.243429615431319 -/+ 0.950083824389781,-34.9509618,-34.1509618,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Deltaproteobacteria___D_3__Myxococcales___D_4__P3OB_42___D_5__uncultured_bacterium,12,bacterium,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.040916941,0.236092016,0.188347767,0.000916688857812027 + 1.96041223212728 - -1.95958776787272,0.11216012326531 + 2.0561420810804 - -1.8638579189196,"lambda=1,delta=1,kappa=1",NA,-35.30093862,-34.50093862,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Deltaproteobacteria___D_3__Myxococcales___D_4__P3OB_42___D_5__uncultured_bacterium,12,bacterium,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.001410833,0.481094167,0.188347767,0.00102032385666588 + 1.96026491544585 - -1.95973508455415,0.1157722611604 + 1.98466764932276 - -1.93533235067724,"lambda=ML,delta=1,kappa=1",0.344098076205937 -/+ 0.84659461692804,-49.31758747,-48.51758747,model_l,model_l,yes
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Deltaproteobacteria___D_3__Myxococcales___D_4__P3OB_42___D_5__uncultured_bacterium,12,bacterium,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.028053577,0.267180209,0.188347767,0.000932675575422821 + 1.96038615980349 - -1.95961384019651,0.108433491388803 + 2.0036824690624 - -1.9163175309376,"lambda=l,delta=ML,kappa=1",3 -/+ 1.40826892181705,-40.61138246,-39.81138246,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Deltaproteobacteria___D_3__Myxococcales___D_4__P3OB_42___D_5__uncultured_bacterium,12,bacterium,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.00058829,0.532415081,0.188347767,0.0010356739560931 + 1.9602426432069 - -1.9597573567931,0.111692608956217 + 1.99725156735919 - -1.92274843264081,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.415012502514017,-47.98318188,-47.18318188,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas,16,Endozoicomonas,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.219439843,0.092640445,0.035930473,0.000639249345406006 + 1.96050014933134 - -1.95949985066866,0.112951055055421 + 2.0650890210513 - -1.8549109789487,"lambda=1,delta=1,kappa=1",NA,-32.20329249,-31.40329249,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas,16,Endozoicomonas,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.111495045,0.150626944,0.035930473,0.000934691268257853 + 1.96055488898332 - -1.95944511101668,0.119646308303064 + 1.98044423489823 - -1.93955576510177,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.814078762436678,-41.17092768,-40.37092768,model_l,model_l,yes
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas,16,Endozoicomonas,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.220659766,0.092175114,0.035930473,0.000657373568096019 + 1.96051575856121 - -1.95948424143879,0.111996382205663 + 2.0091120029863 - -1.9108879970137,"lambda=l,delta=ML,kappa=1",3 -/+ 1.21229050487672,-36.75665218,-35.95665218,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas,16,Endozoicomonas,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.293115432,0.06877677,0.035930473,0.000598689816320758 + 1.96055074161293 - -1.95944925838707,0.111499189852096 + 2.02295327076654 - -1.89704672923346,"lambda=1,delta=1,kappa=ML",0.290952444285853 -/+ 1.00012185027715,-36.04317392,-35.24317392,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Pseudomonadales___D_4__Pseudomonadaceae___D_5__Pseudomonas,19,Pseudomonas,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.385722124,0.047351696,-0.012188823,0.000191412778173676 + 1.96021463940943 - -1.95978536059057,0.11476740247602 + 2.06794486180691 - -1.85205513819309,"lambda=1,delta=1,kappa=1",NA,-31.32656647,-30.52656647,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Pseudomonadales___D_4__Pseudomonadaceae___D_5__Pseudomonas,19,Pseudomonas,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.15730424,0.120953641,-0.012188823,0.000281977112614777 + 1.96019004230328 - -1.95980995769672,0.120403548612314 + 1.98122942902565 - -1.93877057097435,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.878594872253075,-40.55282314,-39.75282314,model_l,model_l,yes
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Pseudomonadales___D_4__Pseudomonadaceae___D_5__Pseudomonas,19,Pseudomonas,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.341275714,0.056716585,-0.012188823,0.000206829522841121 + 1.96021087184624 - -1.95978912815376,0.112493723825086 + 2.0106267226546 - -1.9093732773454,"lambda=l,delta=ML,kappa=1",3 -/+ 1.2644553410374,-36.06697713,-35.26697713,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Pseudomonadales___D_4__Pseudomonadaceae___D_5__Pseudomonas,19,Pseudomonas,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.223805198,0.090988282,-0.012188823,0.000235892795812022 + 1.96018640033727 - -1.95981359966273,0.112352807180905 + 2.01741495758183 - -1.90258504241817,"lambda=1,delta=1,kappa=ML",0.16410263142587 -/+ 0.885159153071067,-36.43559106,-35.63559106,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Spirochaetes___D_2__Spirochaetia___D_3__Spirochaetales___D_4__Spirochaetaceae___D_5__Spirochaeta_2,14,2,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.116335678,0.146956519,0.093641302,3.917964691,0.136665744372881 + 2.06154089066254 - -1.85845910933746,"lambda=1,delta=1,kappa=1",NA,-33.31440142,-32.51440142,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Spirochaetes___D_2__Spirochaetia___D_3__Spirochaetales___D_4__Spirochaetaceae___D_5__Spirochaeta_2,14,2,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.367011533,0.051113318,0.093641302,3.918453147,0.146045100187218 + 1.98751506802298 - -1.93248493197702,"lambda=ML,delta=1,kappa=1",0.146889579421674 -/+ 0.977662685356709,-38.86120846,-38.06120846,model_l,model_l,yes
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Spirochaetes___D_2__Spirochaetia___D_3__Spirochaetales___D_4__Spirochaetaceae___D_5__Spirochaeta_2,14,2,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.148511413,0.125897268,0.093641302,3.91804036,0.134442038187937 + 2.0074843815389 - -1.9125156184611,"lambda=l,delta=ML,kappa=1",3 -/+ 1.08558278816685,-37.43801683,-36.63801683,model_l,model_l,
growth_rate_mm_per_year,skeleton_D_0__Bacteria___D_1__Spirochaetes___D_2__Spirochaetia___D_3__Spirochaetales___D_4__Spirochaetaceae___D_5__Spirochaeta_2,14,2,463791,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.289125653,0.069882481,0.093641302,3.918404076,0.133880853100521 + 2.02621017550396 - -1.89378982449604,"lambda=1,delta=1,kappa=ML",0.401324970093963 -/+ 1.1324757581709,-35.89468962,-35.09468962,model_l,model_l,
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Cyanobacteria___D_2__Oxyphotobacteria___D_3__Synechococcales___D_4__Cyanobiaceae___D_5__Synechococcus_CC9902,18,CC9902,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.18658827,0.113245857,0.054128914,0.000939521513361518 + 1.96067881518865 - -1.95932118481135,0.107464104526778 + 2.06427303596374 - -1.85572696403626,"lambda=1,delta=1,kappa=1",NA,-28.75097266,-27.8938298,model_l,model_l,
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Cyanobacteria___D_2__Oxyphotobacteria___D_3__Synechococcales___D_4__Cyanobiaceae___D_5__Synechococcus_CC9902,18,CC9902,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.403991319,0.046859999,0.054128914,0.000833573864577334 + 1.96097067908571 - -1.95902932091429,0.124268993295352 + 1.98923909707087 - -1.93076090292913,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.879312564126048,-37.43031771,-36.57317486,model_l,model_l,yes
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Cyanobacteria___D_2__Oxyphotobacteria___D_3__Synechococcales___D_4__Cyanobiaceae___D_5__Synechococcus_CC9902,18,CC9902,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.213098519,0.101310566,0.054128914,0.000923346875953357 + 1.96071006270484 - -1.95928993729516,0.105663255142493 + 2.01062051389282 - -1.90937948610718,"lambda=l,delta=ML,kappa=1",3 -/+ 1.16470530527455,-33.14271985,-32.28557699,model_l,model_l,
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Cyanobacteria___D_2__Oxyphotobacteria___D_3__Synechococcales___D_4__Cyanobiaceae___D_5__Synechococcus_CC9902,18,CC9902,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.203279902,0.105534874,0.054128914,0.00110870228305088 + 1.96083339908751 - -1.95916660091249,0.105491941504609 + 2.01992436441745 - -1.90007563558255,"lambda=1,delta=1,kappa=ML",0.194251524112894 -/+ 0.897485887116487,-33.69989676,-32.8427539,model_l,model_l,
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhizobiales___D_4__Stappiaceae___D_5__Pseudovibrio,4,Pseudovibrio,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.327038409,0.064052352,0.001655842,3.917380982,0.142730017539001 + 2.06693921269954 - -1.85306078730046,"lambda=1,delta=1,kappa=1",NA,-27.83311244,-26.97596958,model_l,model_l,
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhizobiales___D_4__Stappiaceae___D_5__Pseudovibrio,4,Pseudovibrio,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.43259704,0.041553426,0.001655842,3.918616651,0.148212622417727 + 1.9793384047189 - -1.9406615952811,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.794541036505194,-37.33593332,-36.47879046,model_l,model_l,yes
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhizobiales___D_4__Stappiaceae___D_5__Pseudovibrio,4,Pseudovibrio,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.373327119,0.053153586,0.001655842,3.917882795,0.139054773742978 + 2.01072896424115 - -1.90927103575885,"lambda=l,delta=ML,kappa=1",3 -/+ 1.1769733740868,-32.25533038,-31.39818752,model_l,model_l,
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhizobiales___D_4__Stappiaceae___D_5__Pseudovibrio,4,Pseudovibrio,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.809655663,0.003990873,0.001655842,3.919569809,0.129272324510593 + 2.02091820034634 - -1.89908179965366,"lambda=1,delta=1,kappa=ML",0.168352520918451 -/+ 0.975547903103813,-31.88535301,-31.02821015,model_l,model_l,
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rickettsiales___D_4__Midichloriaceae___D_5__MD3_55,10,55,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.087821797,0.181859343,0.127316632,3.912426234,0.156005353564069 + 2.06024983805636 - -1.85975016194364,"lambda=1,delta=1,kappa=1",NA,-30.12004201,-29.26289915,model_l,model_l,
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rickettsiales___D_4__Midichloriaceae___D_5__MD3_55,10,55,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.076536323,0.194329349,0.127316632,3.914903623,0.156179572653131 + 1.97820003895241 - -1.94179996104759,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.753961905743593,-40.28779265,-39.43064979,model_l,model_l,yes
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rickettsiales___D_4__Midichloriaceae___D_5__MD3_55,10,55,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.086841364,0.182879218,0.127316632,3.91332529,0.152368186804907 + 2.00760474849323 - -1.91239525150677,"lambda=l,delta=ML,kappa=1",3 -/+ 1.23995903906898,-34.76028001,-33.90313715,model_l,model_l,
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rickettsiales___D_4__Midichloriaceae___D_5__MD3_55,10,55,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.105282713,0.165347575,0.127316632,3.915205551,0.148371382662473 + 2.0150114080001 - -1.9049885919999,"lambda=1,delta=1,kappa=ML",0.117996807785559 -/+ 0.901024232063726,-34.88759663,-34.03045377,model_l,model_l,
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Sphingomonadales___D_4__Sphingomonadaceae___D_5__Sphingobium,18,Sphingobium,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.06772032,0.205370982,0.152395714,0.000680391957901162 + 1.96034556218564 - -1.95965443781436,0.0543428812902674 + 2.06465390545958 - -1.85534609454042,"lambda=1,delta=1,kappa=1",NA,-30.61574353,-29.75860067,model_l,model_l,
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Sphingomonadales___D_4__Sphingomonadaceae___D_5__Sphingobium,18,Sphingobium,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.090639655,0.178988593,0.152395714,0.000588337713880467 + 1.96032534413187 - -1.95967465586813,0.0811674868915827 + 1.99861255009011 - -1.92138744990989,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.844792646563816,-39.96713923,-39.10999637,model_l,model_l,yes
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Sphingomonadales___D_4__Sphingomonadaceae___D_5__Sphingobium,18,Sphingobium,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.062594804,0.212440735,0.152395714,0.000687576590994108 + 1.96034182055704 - -1.95965817944296,0.0529786007634543 + 2.01803253731458 - -1.90196746268542,"lambda=l,delta=ML,kappa=1",3 -/+ 1.27425970354842,-35.38670103,-34.52955818,model_l,model_l,
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Sphingomonadales___D_4__Sphingomonadaceae___D_5__Sphingobium,18,Sphingobium,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.040940165,0.250061482,0.152395714,0.000825160719839956 + 1.9603689626002 - -1.9596310373998,0.0363598597109087 + 2.02250614632861 - -1.89749385367139,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.791298271670137,-36.55508354,-35.69794068,model_l,model_l,
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Alteromonadales___D_4__Pseudoalteromonadaceae___D_5__Pseudoalteromonas,13,Pseudoalteromonas,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.065925539,0.207786693,0.154972473,3.91983186,0.130378591443474 + 2.05752337364714 - -1.86247662635286,"lambda=1,delta=1,kappa=1",NA,-30.66750307,-29.81036021,model_l,model_l,
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Alteromonadales___D_4__Pseudoalteromonadaceae___D_5__Pseudoalteromonas,13,Pseudoalteromonas,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.297247803,0.072136484,0.154972473,3.919828627,0.149265755567095 + 1.97893190807906 - -1.94106809192094,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.920948112003996,-37.88722927,-37.03008642,model_l,model_l,yes
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Alteromonadales___D_4__Pseudoalteromonadaceae___D_5__Pseudoalteromonas,13,Pseudoalteromonas,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.084629532,0.18522169,0.154972473,3.919831605,0.129249986195944 + 2.00553965147561 - -1.91446034852439,"lambda=l,delta=ML,kappa=1",3 -/+ 1.09155874964708,-34.80908457,-33.95194172,model_l,model_l,
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Alteromonadales___D_4__Pseudoalteromonadaceae___D_5__Pseudoalteromonas,13,Pseudoalteromonas,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.217142803,0.09963164,0.154972473,3.919847894,0.128404499758299 + 2.0234956935642 - -1.8965043064358,"lambda=1,delta=1,kappa=ML",0.349798218850619 -/+ 1.1375703128884,-33.29747892,-32.44033606,model_l,model_l,
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Betaproteobacteriales___D_4__Burkholderiaceae___D_5__Aquabacterium,18,Aquabacterium,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.102590896,0.167709492,0.112223458,0.000660417867549092 + 1.96037986723434 - -1.95962013276566,0.0659848277833611 + 2.06620073817644 - -1.85379926182356,"lambda=1,delta=1,kappa=1",NA,-29.82853835,-28.97139549,model_l,model_l,
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Betaproteobacteriales___D_4__Burkholderiaceae___D_5__Aquabacterium,18,Aquabacterium,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.02103464,0.306889057,0.112223458,0.000956354380296657 + 1.96037109397046 - -1.95962890602954,0.0485836481631122 + 2.00014056248847 - -1.91985943751152,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.545797088831874,-42.84603699,-41.98889413,model_l,model_l,yes
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Betaproteobacteriales___D_4__Burkholderiaceae___D_5__Aquabacterium,18,Aquabacterium,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.0833401,0.186614816,0.112223458,0.000706389656937742 + 1.96038077968522 - -1.95961922031478,0.0612739493511664 + 2.01774969286398 - -1.90225030713602,"lambda=l,delta=ML,kappa=1",3 -/+ 1.33965076446954,-34.83817642,-33.98103356,model_l,model_l,
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Betaproteobacteriales___D_4__Burkholderiaceae___D_5__Aquabacterium,18,Aquabacterium,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.049589477,0.233194805,0.112223458,0.00103654907913083 + 1.96048531903802 - -1.95951468096198,0.0306253983611498 + 2.02593042937947 - -1.89406957062053,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.753199370248452,-36.17697704,-35.31983418,model_l,model_l,
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas,14,Endozoicomonas,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.020000896,0.311066593,0.265137699,0.00052655104865031 + 1.96020232837282 - -1.95979767162718,0.094110584812558 + 2.051887582441 - -1.868112417559,"lambda=1,delta=1,kappa=1",NA,-33.04216622,-32.18502336,model_l,model_l,
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas,14,Endozoicomonas,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.787284032,0.005005976,0.265137699,7.35338402818014e-05 + 1.96026767478091 - -1.95973232521909,0.140079770500336 + 1.98308729439271 - -1.93691270560729,"lambda=ML,delta=1,kappa=1",1e-06 -/+ NA,-36.69974387,-35.84260101,model_l,model_l,yes
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas,14,Endozoicomonas,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.047719398,0.236593882,0.265137699,0.00046330337667553 + 1.96021487995242 - -1.95978512004758,0.0989561845530488 + 2.0059843644186 - -1.9140156355814,"lambda=l,delta=ML,kappa=1",3 -/+ 0.687849040053181,-35.91622503,-35.05908217,model_l,model_l,
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas,14,Endozoicomonas,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.058893292,0.217897576,0.265137699,0.000441606227369332 + 1.96021602060424 - -1.95978397939576,0.0981521600226477 + 2.0417728703562 - -1.8782271296438,"lambda=1,delta=1,kappa=ML",0.777518726658625 -/+ 1.99020929239387,-33.12683969,-32.26969684,model_l,model_l,
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Pseudomonadales___D_4__Moraxellaceae___D_5__Enhydrobacter,8,Enhydrobacter,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.385417997,0.050591945,-0.012701925,0.00618181809392271 + 1.96691442957547 - -1.95308557042453,0.123503765093679 + 2.06689442013571 - -1.85310557986429,"lambda=1,delta=1,kappa=1",NA,-27.59036695,-26.73322409,model_l,model_l,
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Pseudomonadales___D_4__Moraxellaceae___D_5__Enhydrobacter,8,Enhydrobacter,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.529912412,0.026826362,-0.012701925,0.00405500374600999 + 1.96630608625266 - -1.95369391374734,0.140252105934813 + 1.97943415010122 - -1.94056584989878,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.855493018004124,-37.07670541,-36.21956255,model_l,model_l,yes
growth_rate_mm_per_year,mucus_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Pseudomonadales___D_4__Moraxellaceae___D_5__Enhydrobacter,8,Enhydrobacter,463791,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.392767811,0.049086591,-0.012701925,0.00600445274916962 + 1.96682365171807 - -1.95317634828193,0.123067608341158 + 2.00941571912603 - -1.91058428087397,"lambda=l,delta=ML,kappa=1",3 -/+ 1.22336668233863,-32.18246656,-31.3253237,model_l,model_l,
